N;p;q;found_divisor;time;divisor_equal;base_size
101253541787029;40760113;2484133;40760113;0.04996156692504883;True;26
800881;907;883;907;0.0;True;11
13522980379487561;129261131;104617531;104617531;0.011987447738647461;True;27
281987;419;673;673;0.0;True;10
30983076204253;5779451;5360903;5779451;0.0030107498168945312;True;23
24021109368989;7754651;3097639;3097639;0.0009987354278564453;True;23
375520169;25013;15013;25013;0.0009984970092773438;True;15
36780953209183;5084531;7233893;5084531;0.17480731010437012;True;23
709604205782867;23421149;30297583;23421149;0.03497767448425293;True;25
144524971;13147;10993;10993;0.0009984970092773438;True;14
3223523572123;2009311;1604293;1604293;0.0019986629486083984;True;21
68415015897884143;97984741;698221123;97984741;0.047951698303222656;True;30
19227484711;365479;52609;52609;0.0009982585906982422;True;19
485183;1933;251;251;0.0;True;12
77227572416663;6076331;12709573;6076331;0.04295682907104492;True;24
221163923;6977;31699;6977;0.0;True;15
34275876836564507;137860969;248626403;137860969;0.007979393005371094;True;28
57417617;8171;7027;7027;0.0;True;14
5995356439249;2056343;2915543;2915543;0.0029976367950439453;True;22
12618535613;106411;118583;118583;0.0;True;18
58249811;10789;5399;10789;0.0;True;14
445564243;15607;28549;15607;0.0;True;15
47234984323;176977;266899;176977;0.0030066967010498047;True;19
46355022936370699;138660059;334306961;334306961;1.474919319152832;True;29
75580521186449;7415557;10192157;10192157;0.38660335540771484;True;24
1057780884374453;20892857;50628829;50628829;0.023974895477294922;True;26
96238788651158821;223049297;431468693;431468693;0.0319666862487793;True;29
2645506620181;729373;3627097;729373;0.0029959678649902344;True;22
1374652901;89923;15287;15287;0.0;True;17
796345933;24593;32381;32381;0.0;True;15
799166368624181;31140899;25662919;31140899;0.007991552352905273;True;25
227975262631;462311;493121;462311;0.0009987354278564453;True;21
46667042919102469;495784591;94127659;94127659;0.02897024154663086;True;29
1032545140094393;38296429;26961917;38296429;0.008004188537597656;True;26
54943461006963371;205876183;266876237;266876237;0.02897500991821289;True;28
971010286077379799;989838601;980978399;980978399;0.11588072776794434;True;30
226764619;15377;14747;15377;0.0009987354278564453;True;15
2615;523;5;5;0.0;True;13
748047731;18773;39847;39847;0.0009989738464355469;True;16
34859;3169;11;11;0.0;True;12
270291567053033;56949491;4746163;4746163;0.013984441757202148;True;26
469101790999217;10397759;45115663;10397759;0.8033022880554199;True;26
472832266727;243527;1941601;243527;0.0019974708557128906;True;22
2041;13;157;13;0.0;True;10
148430304990563;6954401;21343363;21343363;0.006991147994995117;True;25
55894016525717;2588923;21589679;21589679;0.006994485855102539;True;25
108653;607;179;179;0.0;True;10
2106402842587;617467;3411361;617467;0.0;True;24
14096209619;401407;35117;401407;0.0;True;19
